ch= 0	 tth= 6
ch= 1	 tth= 8
ch= 2	 tth= 8
ch= 3	 tth= 19
ch= 4	 tth= 8
ch= 5	 tth= 15
ch= 6	 tth= 12
ch= 7	 tth= 4
ch= 8	 tth= 7
ch= 9	 tth= 8
ch= 10	 tth= 9
ch= 11	 tth= 6
ch= 12	 tth= 6
ch= 13	 tth= 7
ch= 14	 tth= 12
ch= 15	 tth= 8
ch= 16	 tth= 9
ch= 17	 tth= 11
ch= 18	 tth= 6
ch= 19	 tth= 15
ch= 20	 tth= 8
ch= 21	 tth= 6
ch= 22	 tth= 17
ch= 23	 tth= 6
ch= 24	 tth= 17
ch= 25	 tth= 15
ch= 26	 tth= 7
ch= 27	 tth= 8
ch= 28	 tth= 11
ch= 29	 tth= 12
ch= 30	 tth= 4
ch= 31	 tth= 7
ch= 32	 tth= 6
ch= 33	 tth= 9
ch= 34	 tth= 7
ch= 35	 tth= 10
ch= 36	 tth= 10
ch= 37	 tth= 9
ch= 38	 tth= 6
ch= 39	 tth= 7
ch= 40	 tth= 7
ch= 41	 tth= 11
ch= 42	 tth= 13
ch= 43	 tth= 10
ch= 44	 tth= 5
ch= 45	 tth= 10
ch= 46	 tth= 9
ch= 47	 tth= 10
ch= 48	 tth= 14
ch= 49	 tth= 8
ch= 50	 tth= 5
ch= 51	 tth= 6
ch= 52	 tth= 14
ch= 53	 tth= 10
ch= 54	 tth= 10
ch= 55	 tth= 8
ch= 56	 tth= 6
ch= 57	 tth= 13
ch= 58	 tth= 12
ch= 59	 tth= 3
ch= 60	 tth= 16
ch= 61	 tth= 6
ch= 62	 tth= 6
ch= 63	 tth= 6
