ch= 0	 tth= 6
ch= 1	 tth= 13
ch= 2	 tth= 6
ch= 3	 tth= 7
ch= 4	 tth= 6
ch= 5	 tth= 8
ch= 6	 tth= 10
ch= 7	 tth= 13
ch= 8	 tth= 9
ch= 9	 tth= 14
ch= 10	 tth= 6
ch= 11	 tth= 12
ch= 12	 tth= 9
ch= 13	 tth= 8
ch= 14	 tth= 6
ch= 15	 tth= 12
ch= 16	 tth= 7
ch= 17	 tth= 20
ch= 18	 tth= 9
ch= 19	 tth= 5
ch= 20	 tth= 13
ch= 21	 tth= 17
ch= 22	 tth= 22
ch= 23	 tth= 10
ch= 24	 tth= 5
ch= 25	 tth= 20
ch= 26	 tth= 8
ch= 27	 tth= 14
ch= 28	 tth= 5
ch= 29	 tth= 11
ch= 30	 tth= 15
ch= 31	 tth= 11
ch= 32	 tth= 10
ch= 33	 tth= 13
ch= 34	 tth= 9
ch= 35	 tth= 16
ch= 36	 tth= 9
ch= 37	 tth= 5
ch= 38	 tth= 16
ch= 39	 tth= 12
ch= 40	 tth= 9
ch= 41	 tth= 5
ch= 42	 tth= 12
ch= 43	 tth= 5
ch= 44	 tth= 9
ch= 45	 tth= 15
ch= 46	 tth= 18
ch= 47	 tth= 8
ch= 48	 tth= 12
ch= 49	 tth= 16
ch= 50	 tth= 15
ch= 51	 tth= 7
ch= 52	 tth= 10
ch= 53	 tth= 7
ch= 54	 tth= 19
ch= 55	 tth= 14
ch= 56	 tth= 11
ch= 57	 tth= 10
ch= 58	 tth= 13
ch= 59	 tth= 11
ch= 60	 tth= 9
ch= 61	 tth= 8
ch= 62	 tth= 10
ch= 63	 tth= 11
