ch= 0	 tth= 15
ch= 1	 tth= 10
ch= 2	 tth= 14
ch= 3	 tth= 11
ch= 4	 tth= 8
ch= 5	 tth= 7
ch= 6	 tth= 10
ch= 7	 tth= 7
ch= 8	 tth= 18
ch= 9	 tth= 6
ch= 10	 tth= 11
ch= 11	 tth= 16
ch= 12	 tth= 10
ch= 13	 tth= 16
ch= 14	 tth= 22
ch= 15	 tth= 11
ch= 16	 tth= 11
ch= 17	 tth= 12
ch= 18	 tth= 10
ch= 19	 tth= 15
ch= 20	 tth= 6
ch= 21	 tth= 12
ch= 22	 tth= 12
ch= 23	 tth= 11
ch= 24	 tth= 13
ch= 25	 tth= 11
ch= 26	 tth= 7
ch= 27	 tth= 8
ch= 28	 tth= 7
ch= 29	 tth= 20
ch= 30	 tth= 21
ch= 31	 tth= 18
ch= 32	 tth= 6
ch= 33	 tth= 6
ch= 34	 tth= 5
ch= 35	 tth= 6
ch= 36	 tth= 13
ch= 37	 tth= 17
ch= 38	 tth= 6
ch= 39	 tth= 10
ch= 40	 tth= 6
ch= 41	 tth= 7
ch= 42	 tth= 17
ch= 43	 tth= 13
ch= 44	 tth= 9
ch= 45	 tth= 12
ch= 46	 tth= 10
ch= 47	 tth= 5
ch= 48	 tth= 13
ch= 49	 tth= 7
ch= 50	 tth= 8
ch= 51	 tth= 16
ch= 52	 tth= 9
ch= 53	 tth= 11
ch= 54	 tth= 12
ch= 55	 tth= 12
ch= 56	 tth= 8
ch= 57	 tth= 18
ch= 58	 tth= 9
ch= 59	 tth= 13
ch= 60	 tth= 13
ch= 61	 tth= 6
ch= 62	 tth= 16
ch= 63	 tth= 12
