ch= 0	 tth= 17
ch= 1	 tth= 18
ch= 2	 tth= 10
ch= 3	 tth= 2
ch= 4	 tth= 18
ch= 5	 tth= 14
ch= 6	 tth= 12
ch= 7	 tth= 10
ch= 8	 tth= 8
ch= 9	 tth= 17
ch= 10	 tth= 15
ch= 11	 tth= 18
ch= 12	 tth= 15
ch= 13	 tth= 13
ch= 14	 tth= 22
ch= 15	 tth= 21
ch= 16	 tth= 11
ch= 17	 tth= 12
ch= 18	 tth= 10
ch= 19	 tth= 8
ch= 20	 tth= 14
ch= 21	 tth= 16
ch= 22	 tth= 8
ch= 23	 tth= 15
ch= 24	 tth= 16
ch= 25	 tth= 10
ch= 26	 tth= 14
ch= 27	 tth= 14
ch= 28	 tth= 24
ch= 29	 tth= 11
ch= 30	 tth= 13
ch= 31	 tth= 11
ch= 32	 tth= 25
ch= 33	 tth= 20
ch= 34	 tth= 12
ch= 35	 tth= 11
ch= 36	 tth= 13
ch= 37	 tth= 14
ch= 38	 tth= 19
ch= 39	 tth= 19
ch= 40	 tth= 13
ch= 41	 tth= 6
ch= 42	 tth= 14
ch= 43	 tth= 9
ch= 44	 tth= 11
ch= 45	 tth= 23
ch= 46	 tth= 8
ch= 47	 tth= 23
ch= 48	 tth= 23
ch= 49	 tth= 17
ch= 50	 tth= 13
ch= 51	 tth= 11
ch= 52	 tth= 10
ch= 53	 tth= 14
ch= 54	 tth= 24
ch= 55	 tth= 8
ch= 56	 tth= 20
ch= 57	 tth= 8
ch= 58	 tth= 11
ch= 59	 tth= 14
ch= 60	 tth= 9
ch= 61	 tth= 4
ch= 62	 tth= 6
ch= 63	 tth= 9
