ch= 0	 tth= 15
ch= 1	 tth= 17
ch= 2	 tth= 13
ch= 3	 tth= 15
ch= 4	 tth= 14
ch= 5	 tth= 15
ch= 6	 tth= 10
ch= 7	 tth= 16
ch= 8	 tth= 9
ch= 9	 tth= 11
ch= 10	 tth= 20
ch= 11	 tth= 17
ch= 12	 tth= 14
ch= 13	 tth= 10
ch= 14	 tth= 17
ch= 15	 tth= 21
ch= 16	 tth= 13
ch= 17	 tth= 11
ch= 18	 tth= 14
ch= 19	 tth= 17
ch= 20	 tth= 14
ch= 21	 tth= 14
ch= 22	 tth= 15
ch= 23	 tth= 18
ch= 24	 tth= 15
ch= 25	 tth= 17
ch= 26	 tth= 12
ch= 27	 tth= 13
ch= 28	 tth= 19
ch= 29	 tth= 9
ch= 30	 tth= 18
ch= 31	 tth= 18
ch= 32	 tth= 20
ch= 33	 tth= 17
ch= 34	 tth= 10
ch= 35	 tth= 8
ch= 36	 tth= 19
ch= 37	 tth= 17
ch= 38	 tth= 16
ch= 39	 tth= 13
ch= 40	 tth= 14
ch= 41	 tth= 17
ch= 42	 tth= 19
ch= 43	 tth= 14
ch= 44	 tth= 13
ch= 45	 tth= 13
ch= 46	 tth= 16
ch= 47	 tth= 19
ch= 48	 tth= 16
ch= 49	 tth= 11
ch= 50	 tth= 21
ch= 51	 tth= 10
ch= 52	 tth= 14
ch= 53	 tth= 9
ch= 54	 tth= 16
ch= 55	 tth= 14
ch= 56	 tth= 7
ch= 57	 tth= 15
ch= 58	 tth= 16
ch= 59	 tth= 16
ch= 60	 tth= 12
ch= 61	 tth= 11
ch= 62	 tth= 16
ch= 63	 tth= 9
